기수 입영날짜 전역날짜
774 2017.03.13 2019.02.28
775 2017.04.17 2019.04.01
776 2017.05.15 2019.04.27
777 2017.06.19 2019.05.30
778 2017.07.17 2019.06.25
779 2017.08.21 2019.07.27
780 2017.09.18 2019.08.22
781 2017.10.16 2019.09.17
782 2017.11.13 2019.10.13
783 2017.12.11 2019.11.08
784 2018.01.15 2019.12.11
785 2018.02.19 2020.01.12
786 2018.03.19 2020.02.08
787 2018.04.23 2020.03.12
788 2018.05.28 2020.04.13
789 2018.06.25 2020.05.09
790 2018.07.23 2020.06.04
791 2018.08.20 2020.06.30
792 2018.09.17 2020.07.26
793 2018.10.15 2020.08.21
794 2018.11.12 2020.09.16
795 2018.12.17 2020.10.19
796 2019.01.21 2020.11.21
797 2019.02.18 2020.12.18
798 2019.03.18 2021.01.18
799 2019.04.15 2021.02.15
800 2019.05.13 2021.03.13
801 2019.06.10 2021.04.10
802 2019.07.08 2021.05.08
803 2019.08.05 2021.06.05
804 2019.09.02 2021.07.02
805 2019.09.23 2021.07.23
806 2019.10.21 2021.08.21
807 2019.11.18 2021.09.18
808 2019.12.16 2021.10.16
